pathway_id	gene_id	counts
hsa00260	64902	3
hsa00260	669	3
hsa00260	8639	5
hsa00260	875	4
hsa00260	9380	4
hsa00270	102724560	4
hsa00270	1036	3
hsa00270	10768	2
hsa00270	10993	6
hsa00270	113675	6
hsa00270	1491	5
hsa00270	160287	5
hsa00270	1786	3
hsa00270	1788	3
hsa00270	1789	3
hsa00270	191	2
hsa00270	23382	2
hsa00270	259307	8
hsa00270	262	3
hsa00270	27430	3
hsa00270	2805	10
hsa00270	2806	11
hsa00270	3939	6
hsa00270	3945	5
hsa00270	3948	5
hsa00270	4143	3
hsa00270	4144	3
hsa00270	4190	7
hsa00270	4191	6
hsa00270	4357	4
hsa00270	4507	2
hsa00270	4548	5
hsa00270	51074	2
hsa00270	55256	2
hsa00270	58478	2
hsa00270	635	3
hsa00270	6611	5
hsa00270	6723	5
hsa00270	6898	7
hsa00270	7263	4
hsa00270	84245	2
hsa00270	875	4
hsa00270	92483	5
hsa00280	10449	5
hsa00280	11112	2
hsa00280	1629	2
hsa00280	1738	7
hsa00280	18	7
hsa00280	1892	11
hsa00280	1962	12
hsa00280	217	13
hsa00280	219	13
hsa00280	223	12
hsa00280	224	13
hsa00280	259307	8
hsa00280	26275	5
hsa00280	27034	2
hsa00280	30	8
hsa00280	3028	3
hsa00280	3030	12
hsa00280	3032	5
hsa00280	3033	8
hsa00280	3155	5
hsa00280	3157	5
hsa00280	3158	6
hsa00280	316	8
hsa00280	34	8
hsa00280	35	6
hsa00280	36	4
hsa00280	3712	2
hsa00280	38	13
hsa00280	39	14
hsa00280	4329	6
hsa00280	4594	5
hsa00280	501	15
hsa00280	5019	3
hsa00280	5095	5
hsa00280	5096	5
hsa00280	549	2
hsa00280	56922	2
hsa00280	586	6
hsa00280	587	6
hsa00280	593	2
hsa00280	594	2
hsa00280	64064	3
hsa00280	64087	2
hsa00280	84693	5
hsa00290	10993	6
hsa00290	113675	6
hsa00290	586	6
hsa00290	587	6
hsa00300	501	15
hsa00300	51166	6
hsa00310	10157	2
hsa00310	10919	1
hsa00310	123688	2
hsa00310	1743	4
hsa00310	1892	11
hsa00310	1962	12
hsa00310	217	13
hsa00310	219	13
hsa00310	223	12
hsa00310	224	13
hsa00310	23067	1
hsa00310	23127	2
hsa00310	2639	4
hsa00310	29072	1
hsa00310	3030	12
hsa00310	3033	8
hsa00310	38	13
hsa00310	387893	1
hsa00310	39	14
hsa00310	4297	2
hsa00310	4967	5
hsa00310	501	15
hsa00310	51111	1
hsa00310	51166	6
hsa00310	51268	4
hsa00310	5351	1
hsa00310	5352	1
hsa00310	54904	1
hsa00310	55217	1
hsa00310	55753	5
hsa00310	55870	2
hsa00310	55904	1
hsa00310	58508	1
hsa00310	6419	1
hsa00310	64324	1
hsa00310	6839	1
hsa00310	7468	2
hsa00310	79709	2
hsa00310	79723	1
hsa00310	79813	1
hsa00310	8085	1
hsa00310	80854	2
hsa00310	83852	1
hsa00310	8424	1
hsa00310	84444	2
hsa00310	84787	1
hsa00310	85007	2
hsa00310	8985	2
hsa00310	9739	1
hsa00310	9757	1
hsa00310	9869	1
hsa00330	102724788	2
hsa00330	112483	2
hsa00330	112817	3
hsa00330	112849	1
hsa00330	113451	2
hsa00330	1152	2
hsa00330	1158	2
hsa00330	1159	2
hsa00330	1160	2
hsa00330	1373	6
hsa00330	1610	5
hsa00330	162417	4
hsa00330	217	13
hsa00330	219	13
hsa00330	223	12
hsa00330	224	13
hsa00330	2593	3
hsa00330	26	3
hsa00330	262	3
hsa00330	2628	3
hsa00330	27165	8
hsa00330	2744	8
hsa00330	2746	6
hsa00330	2747	6
hsa00330	2752	8
