mmu_geneid	mmu_counts	hsa_geneid	has_counts	dme_geneid	dme_counts
193034	2	8705	3		
194237	2	8706	2		
207839	2	8707	2		
207958	2	8708	2		
208117	2	8714	2		
208188	2	8717	9		
208211	2	8718	1		
208266	2	8720	1		
208366	2	8722	1		
208449	2	8729	1		
208624	2	8731	1		
208643	2	8732	1		
209361	2	8733	2		
211006	2	8735	1		
211347	2	8737	8		
211480	2	8740	3		
211488	2	8741	3		
211914	2	8742	1		
212679	2	8743	6		
212898	2	8744	1		
212980	2	8760	3		
212996	2	8761	3		
213208	2	8763	1		
214162	2	8764	2		
214253	2	8766	4		
214580	2	8767	4		
216080	2	8771	1		
216134	2	8772	10		
216150	2	8773	2		
216439	2	8775	1		
216443	2	8777	1		
216459	2	8784	1		
216963	2	8787	2		
217325	2	8789	7		
217664	2	8790	3		
217707	2	8792	5		
217944	2	8793	5		
218441	2	8794	5		
218461	2	8795	6		
218476	2	8797	5		
218793	2	8799	1		
218865	2	8800	1		
223646	2	8801	4		
223706	2	8802	4		
223774	2	8803	4		
225027	2	8807	2		
225160	2	8809	3		
225600	2	8811	1		
225742	2	8813	2		
225895	2	8817	8		
225994	2	8818	3		
226182	2	8821	3		
226518	2	8822	8		
226548	2	8823	8		
226641	2	8824	1		
227377	2	8826	3		
227522	2	8829	2		
227525	2	8831	1		
227613	2	8833	3		
227620	2	8835	4		
227671	2	8836	1		
227697	2	8837	4		
227720	2	8841	3		
228139	2	8842	1		
228608	2	8843	1		
228677	2	8844	2		
228812	2	8850	4		
229487	2	8851	2		
229615	2	8853	2		
229665	2	8854	2		
229709	2	8861	1		
229927	2	8863	3		
229933	2	8864	4		
229949	2	8867	3		
230027	2	8869	2		
230145	2	8871	3		
230379	2	8874	1		
230597	2	8875	1		
230801	2	8876	1		
230828	2	8877	6		
230837	2	8878	1		
230861	2	8879	2		
230904	2	8881	5		
230979	2	8883	1		
231050	2	8884	1		
231201	2	8890	1		
231602	2	8891	1		
231727	2	8892	1		
231903	2	8893	1		
232174	2	8894	1		
232223	2	8896	1		
232232	2	8900	9		
232440	2	8905	1		
232680	2	8906	1		
233016	2	8907	1		
233046	2	8911	3		
233649	2	8912	3		
233733	2	8913	4		
233799	2	8915	4		
